,X,Y,labels,corpus,cluster_name,value
0,-2.0183442,-0.5900575,4,Dads complain at Christmas time ,christmas millennials | real | christmas time | day | santa,0.5
1,-2.2006087,-2.0452623,3,Everyone hates tumeric lattes ,elton john | christmas | nativity plays | mothers | people,0.5
2,1.0805284,-2.308251,2,"According to the World Health Organisation, bees are so last year. ",christmas | people | last year | unimaginative gifts | years,0.5
4,-2.0661387,-0.5645815,4,Passive aggression goes up by 43% at Christmas time. ,christmas millennials | real | christmas time | day | santa,0.5
6,1.0965543,-1.9558178,2,Burritos are the most common dish eaten by millenials at Christmas ,christmas | people | last year | unimaginative gifts | years,0.5
7,1.1829998,-1.8450755,2,30% of people are allergic to Christmas pudding,christmas | people | last year | unimaginative gifts | years,0.5
8,-1.0051366,-2.2899811,6,We need a Christmas themed stunt. ,christmas | world | choir | new christmas fable | people,0.5
9,-2.158583,-2.02492,3,45% of mothers hate nativity plays ,elton john | christmas | nativity plays | mothers | people,0.5
10,3.7375567,-3.624747,1,Christmas is fundamentally misogynist,christmas | emotional blackmail | bad | santa | time,0.5
11,2.5356698,-0.43612996,13,People spend more money when they see something sad that is then happy again,people | something new | christmas | open | london,0.5
12,-1.955927,-0.67488885,4,Sometimes negativity brings us down at Christmas,christmas millennials | real | christmas time | day | santa,0.5
13,3.284041,-3.2329166,1,Wrapping paper is bad for environment ,christmas | emotional blackmail | bad | santa | time,0.5
14,2.5214288,-0.35097966,13,CEOs seem to always be cold when on Skype,people | something new | christmas | open | london,0.5
15,0.17635281,-0.48942348,8,"At Christmas, people forget about old people. ",people | stand | brexit | christmas | palm oil,0.5
16,-1.1844215,-1.8091847,5,Only 1 in 10 will sing Lily Allen this Christmas. ,christmas | something new | something fresh | hungry | true meaning,0.5
19,-0.1230202,0.409069,9,We need to make mums buy food from our brand. ,food | mums | everyone | homeless | lovable,0.5
20,2.6279345,-0.26795593,13,People want something new to be angry about. ,people | something new | christmas | open | london,0.5
21,-1.91469,-0.6733063,4,Millennials find us particularly boring at Christmas. ,christmas millennials | real | christmas time | day | santa,0.5
22,1.3953128,0.9066627,15,We need mums to love us again. ,love | everyone | nothing | mums,0.5
24,1.091387,-1.8657012,2,Dads are becoming more concerned about the state of Christmas dinner ,christmas | people | last year | unimaginative gifts | years,0.5
25,3.5887563,-3.5348542,1,Mrs Santa Claus is an angry feminist ,christmas | emotional blackmail | bad | santa | time,0.5
26,-0.0633969,-0.40682653,8,"When people think of Christmas, they don't usually think of refugees. ",people | stand | brexit | christmas | palm oil,0.5
27,1.2157559,-1.9819406,2,These days all children want are unimaginative gifts,christmas | people | last year | unimaginative gifts | years,0.5
28,-1.5428417,-0.23072922,4,Parents aren't bonding with their children at Christmas,christmas millennials | real | christmas time | day | santa,0.5
29,-0.7449549,-3.3487558,6,The client wants something award winning. ,christmas | world | choir | new christmas fable | people,0.5
30,2.9345312,-3.1801395,1,"According to trend reports, Christmas is a time for giving. ",christmas | emotional blackmail | bad | santa | time,0.5
31,2.5426292,-3.1412244,1,"According to recent reports, family time. ",christmas | emotional blackmail | bad | santa | time,0.5
32,3.653688,-3.5832977,1,Christmas is significant. ,christmas | emotional blackmail | bad | santa | time,0.5
33,-0.40419778,-4.215095,6,People love carols. ,christmas | world | choir | new christmas fable | people,0.5
34,-1.930578,-0.6720552,4,Hot air ballooning is one of the worst ways to travel at Christmas ,christmas millennials | real | christmas time | day | santa,0.5
35,3.1072176,-3.6886036,1,Pollution is a huge problem in big cities. ,christmas | emotional blackmail | bad | santa | time,0.5
